STDPL,SMSSL,LPFL,MedianSI,sacl,sacr,fixl,fixr,Class
0.685928742,1.064434773,1.880386961,44.107863,27.76082977,37.6984127,27.45576571,37.41496599,2
0.9826187,1.573256464,2.616214457,5.87125,11.0330993,13.03911735,10.78234704,12.7883651,2
1.036568499,1.64687994,2.731405864,24.5525,33.09929789,22.31695085,32.84854564,22.0661986,2
1.028926752,1.626453267,2.758361497,11.677049,26.26313157,15.75787894,26.0130065,15.50775388,2
1.087566048,1.730801654,2.937834791,2.562,17.25862931,23.51175588,17.00850425,23.26163082,2
1.417147255,2.266251555,3.500616763,4.201252,10.03009027,14.79438315,9.779338014,14.54363089,2
1.034593893,1.60108087,2.790606664,6.216396,7.753876938,8.004002001,7.503751876,7.753876938,2
1.061613929,1.650238702,2.945584583,3.941538,6.503251626,7.503751876,6.253126563,7.253626813,2
1.110633881,1.725582742,3.060849291,8.739267,15.29588766,17.55265797,15.04513541,17.30190572,2
1.089416686,1.722438092,2.935727256,8.9121,14.7980938,18.81113619,14.54727866,18.56032104,2
1.189724577,1.844642744,3.171280658,11.319588,11.25562781,12.7883651,11.00550275,12.53761284,2
1.254447536,1.958250575,3.346633471,5.196296,13.79483321,12.50938204,13.54401806,12.2591944,2
1.233420337,1.918810582,3.317709178,7.574167,7.02106319,7.77331996,6.770310933,7.522567703,2
1.219130232,1.906510085,3.240360199,10.209014,7.522567703,9.277833501,7.271815446,9.027081244,2
1.244066001,1.92999277,3.378152273,6.5575,11.5635998,13.03911735,11.31221719,12.7883651,2
1.20109001,1.85541471,3.243100059,1.83,5.767301906,7.522567703,5.516549649,7.271815446,2
1.158260033,1.790736467,3.157074819,5.7645,12.50625313,14.75737869,12.25612806,14.50725363,2
1.211494534,1.889118795,3.211776715,10.418222,11.78535607,13.54062187,11.53460381,13.28986961,2
1.031941425,1.63664339,2.707771915,18.985077,20.76038019,25.01250625,20.51025513,24.76238119,2
1.278462567,1.981833065,3.472328562,5.046364,10.28342112,7.524454477,10.03260597,7.273639328,2
1.215811779,1.882005698,3.372153106,4.80375,9.779338014,8.820564516,9.528585757,8.568548387,2
1.156713716,1.819118968,3.158970454,8.54,15.29588766,14.79438315,15.04513541,14.54363089,2
1.066104496,1.67277331,2.828092519,11.356756,9.445100354,17.11924439,9.149940968,16.82408501,2
1.060850308,1.636028369,2.860978586,4.90899,6.018054162,8.52557673,5.767301906,8.274824473,2
1.163704903,1.818966821,3.092401172,18.882273,19.10507793,28.33500502,18.85369532,28.08425276,2
1.258645272,2.020090148,3.304087195,27.395745,28.014007,31.76588294,27.76388194,31.51575788,2
0.977517549,1.515252245,2.66396336,4.604902,8.504252126,9.254627314,8.254127064,9.004502251,2
1.010143888,1.567333281,2.732944649,2.760061,3.510531595,6.519558676,3.259779338,6.268806419,2
0.966307362,1.53727264,2.594840634,9.57757,27.84048157,21.31928768,27.58966642,21.06847254,2
1.018987527,1.582295531,2.697811634,3.284009,7.191994997,11.01321586,6.879299562,10.69855255,2
1.116058539,1.741518696,2.997468955,5.608192,12.75637819,10.25512756,12.50625313,10.0050025,2
1.000685428,1.592217881,2.711159207,15.431603,21.81544634,12.53761284,21.56469408,12.28686058,2
